sym,universe,interval,range,rule,bars,n,winrate,avg_ret,sum_ret,PF,maxDD,wf_flag,wf1_n,wf1_avg,wf1_PF,wf2_n,wf2_avg,wf2_PF,score,is_control
AMD,liquid,1d,1y,L_RSI50,251,4,25.0,-2.9785,-11.9138,0.421,18.199,FIRST_ONLY,2,3.1426,3.663,2,-9.0995,0.0,-999.0,0
AMD,liquid,1d,1y,L_EMA_RECLAIM,251,1,0.0,-8.6421,-8.6421,0.0,8.6421,WEAK_BOTH,0,0.0,0.0,1,-8.6421,0.0,-999.0,0
AMD,liquid,1d,1y,L_VWAP_RECLAIM,251,7,57.14,3.2334,22.6338,2.415,8.7157,SECOND_ONLY,5,-0.5631,0.824,2,12.7246,99.0,20.66,0
AMD,liquid,1d,1y,B_SUPERTREND,251,4,25.0,-3.5553,-14.2211,0.405,23.8885,FIRST_ONLY,2,0.2519,1.055,2,-7.3624,0.0,-999.0,0
AMD,liquid,1d,1y,B_DONCHIAN_D,251,13,38.46,0.6672,8.6739,1.226,17.1358,SECOND_ONLY,4,-1.8418,0.381,9,1.7824,1.606,2.95,0
AMD,liquid,1d,1y,HYBRID,251,3,33.33,-0.7857,-2.357,0.786,8.6421,FIRST_ONLY,2,3.1426,3.663,1,-8.6421,0.0,-999.0,0
AMD,liquid,1h,3mo,L_RSI50,449,4,25.0,-0.6481,-2.5923,0.416,4.442,WEAK_BOTH,3,-0.36,0.631,1,-1.5122,0.0,-999.0,0
AMD,liquid,1h,3mo,L_EMA_RECLAIM,449,2,50.0,0.2089,0.4178,1.276,1.5122,WEAK_BOTH,1,1.9299,99.0,1,-1.5122,0.0,-999.0,0
AMD,liquid,1h,3mo,L_VWAP_RECLAIM,449,10,30.0,0.1546,1.5462,1.114,8.071,FIRST_ONLY,4,1.1011,1.81,6,-0.4764,0.646,0.545,0
AMD,liquid,1h,3mo,B_SUPERTREND,449,13,23.08,-0.4528,-5.8858,0.606,7.5579,SECOND_ONLY,5,-1.5116,0.0,8,0.209,1.227,-999.0,0
AMD,liquid,1h,3mo,HYBRID,449,3,33.33,-0.8559,-2.5678,0.419,4.4175,WEAK_BOTH,2,-0.5278,0.637,1,-1.5122,0.0,-999.0,0
ASTS,book,1d,1y,L_RSI50,251,6,33.33,-5.7342,-34.4052,0.013,34.8454,WEAK_BOTH,3,-0.9889,0.129,3,-10.4794,0.0,-999.0,0
ASTS,book,1d,1y,L_EMA_RECLAIM,251,3,66.67,6.5176,19.5527,3.115,9.2469,FIRST_ONLY,2,14.3998,99.0,1,-9.2469,0.0,-999.0,0
ASTS,book,1d,1y,L_VWAP_RECLAIM,251,3,33.33,-5.1961,-15.5883,0.024,15.9776,WEAK_BOTH,1,0.3894,99.0,2,-7.9888,0.0,-999.0,0
ASTS,book,1d,1y,B_SUPERTREND,251,7,28.57,-4.9623,-34.7364,0.406,45.0987,WEAK_BOTH,4,-0.8069,0.88,3,-10.5029,0.0,-999.0,0
ASTS,book,1d,1y,B_DONCHIAN_D,251,11,45.45,-0.0852,-0.9367,0.985,53.246,SECOND_ONLY,9,-1.6139,0.727,2,6.7943,2.647,-999.0,0
ASTS,book,1d,1y,HYBRID,251,2,50.0,-4.4288,-8.8575,0.042,9.2469,WEAK_BOTH,1,0.3894,99.0,1,-9.2469,0.0,-999.0,0
ASTS,book,1h,3mo,L_RSI50,449,3,33.33,-0.3959,-1.1877,0.707,4.0566,WEAK_BOTH,0,0.0,0.0,3,-0.3959,0.707,-999.0,0
ASTS,book,1h,3mo,L_EMA_RECLAIM,449,3,33.33,-0.5,-1.5,0.657,4.3689,WEAK_BOTH,0,0.0,0.0,3,-0.5,0.657,-999.0,0
ASTS,book,1h,3mo,L_VWAP_RECLAIM,449,7,14.29,-0.8428,-5.8999,0.559,11.5068,FIRST_ONLY,2,2.8034,3.986,5,-2.3014,0.0,-999.0,0
ASTS,book,1h,3mo,B_SUPERTREND,449,6,33.33,-0.4162,-2.4974,0.761,8.237,FIRST_ONLY,2,2.8698,4.289,4,-2.0592,0.052,-999.0,0
ASTS,book,1h,3mo,HYBRID,449,3,33.33,-0.5,-1.5,0.657,4.3689,WEAK_BOTH,0,0.0,0.0,3,-0.5,0.657,-999.0,0
META,liquid,1d,1y,L_RSI50,251,0,0.0,0.0,0.0,0.0,0.0,NO_TRADES,0,0.0,0.0,0,0.0,0.0,-999.0,0
META,liquid,1d,1y,L_EMA_RECLAIM,251,0,0.0,0.0,0.0,0.0,0.0,NO_TRADES,0,0.0,0.0,0,0.0,0.0,-999.0,0
